project_id,owner.login,name,description,url,createdAt,archivedAt,autoMergeAllowed,assignableUsers.totalCount,primary_language,primary_language_ratio,secondary_language,secondary_language_ratio,other_languages,stargazers.totalCount,mirrorUrl,#cmt,#pr,#mpr
5e84988880c620a732667310,apache,maven,Apache Maven core,https://github.com/apache/maven,2009-05-21T03:22:03Z,None,False,34,Java,1.00,Shell,0.00,"['Batchfile', 'Dockerfile', 'Makefile', 'HTML']",4453,None,12594,402,58
5e8ecd873c63727691322421,apache,airavata,A general purpose Distributed Systems Framework,https://github.com/apache/airavata,2014-01-29T08:00:06Z,None,False,16,Java,0.75,C++,0.17,"['PHP', 'Python', 'JavaScript', 'Blade', 'Thrift', 'Jinja']",118,None,9513,267,160
5f1050f2eafc140f94041bf7,apache,openjpa,Apache OpenJPA,https://github.com/apache/openjpa,2009-05-21T01:13:25Z,None,False,11,Java,0.99,HTML,0.00,"['JavaScript', 'CSS', 'XSLT', 'Python', 'Batchfile', 'SQLPL']",139,None,7270,70,30
6076b1088d56179891397c6f,apache,directory-studio,Apache Directory Studio,https://github.com/apache/directory-studio,2009-05-20T01:52:19Z,None,False,12,Java,0.99,NSIS,0.00,"['CSS', 'GAP', 'HTML', 'Shell', 'Inno Setup', 'XSLT']",125,None,6061,13,10
60814f734064fcb5083898b4,apache,xmlgraphics-batik,Apache XML Graphics Batik,https://github.com/apache/xmlgraphics-batik,2009-05-21T02:32:14Z,None,False,4,Java,0.99,XSLT,0.00,"['HTML', 'JavaScript', 'Batchfile', 'Shell', 'CSS', 'Makefile']",221,None,3760,27,0
608b9b0227ad48a9ceb48654,apache,curator,Apache Curator,https://github.com/apache/curator,2014-03-03T08:00:07Z,None,False,15,Java,0.99,Python,0.01,['Groovy'],3126,None,3131,392,241
608b9e8d4064fcb5083898b5,apache,directory-kerby,Mirror of Apache Directory Kerby,https://github.com/apache/directory-kerby,2015-03-17T07:00:05Z,None,False,13,Java,0.99,Shell,0.00,['Batchfile'],110,None,2074,100,49
608c3a354064fcb5083898b6,apache,fineract,Apache Fineract,https://github.com/apache/fineract,2015-12-22T08:00:06Z,None,False,36,Java,0.84,Gherkin,0.12,"['HTML', 'Groovy', 'FreeMarker', 'Mustache', 'CSS', 'Shell']",1441,None,6113,1798,1309
60a24a978d56179891397c71,apache,freemarker,Apache Freemarker,https://github.com/apache/freemarker,2015-09-04T07:00:05Z,None,False,8,Java,0.93,FreeMarker,0.06,"['Kotlin', 'HTML']",996,None,3370,69,45
60a24ac427ad48a9ceb48656,apache,openwebbeans,Apache OpenWebBeans,https://github.com/apache/openwebbeans,2011-01-28T08:00:11Z,None,False,14,Java,1.00,Shell,0.00,"['Batchfile', 'AMPL', 'HTML']",67,None,4271,35,10
5beebd530da3ef21a2107883,apache,commons-jexl,Apache Commons JEXL,https://github.com/apache/commons-jexl,2013-07-10T07:00:14Z,None,False,30,Java,1.00,Shell,0.00,[],203,None,3276,36,17
5beebdd90da3ef21a62b756f,apache,commons-scxml,Apache Commons SCXML,https://github.com/apache/commons-scxml,2015-07-10T07:00:05Z,None,False,31,Java,0.92,XSLT,0.07,"['HTML', 'Shell']",52,None,1216,8,4
60a24a6992d37bcecc65bf82,apache,cxf-fediz,Mirror of Apache CXF,https://github.com/apache/cxf-fediz,2014-03-08T08:00:07Z,None,False,11,Java,0.99,HTML,0.00,"['XSLT', 'CSS']",24,None,2547,60,29
5ca4c6b26bcebe2f4003c6e4,apache,zookeeper,Apache ZooKeeper,https://github.com/apache/zookeeper,2009-03-27T15:41:56Z,None,False,22,Java,0.75,C++,0.07,"['C', 'JavaScript', 'TLA', 'Python', 'Perl', 'Shell']",12351,None,2952,1563,1
