project,#pull_request,first_pull_request_date,last_pull_request_date,last_commit_date,#pull_request_with_commit,#merged_pull_request,#mpr_all,#mpr_partial,#mpr_none,#mpr_nc==0,#mpr_nc==1,#mpr_1<nc<=5,#mpr_5<nc<=10,#mpr_10<nc<=20,#mpr_20<nc<=30,#mpr_30<nc
velocity-engine,19,2014-01-18T13:14:30.000000,2021-09-14T09:27:29.000000,2021-07-07T14:18:16.000000,18,8,6,0,2,0,5,5,1,0,0,0
reef,1502,2014-10-23T16:36:08.000000,2021-05-11T05:00:31.000000,2021-05-26T15:06:07.000000,1502,38,9,0,29,0,8,9,0,0,0,0
maven-scm,126,2011-11-19T18:34:19.000000,2021-09-16T20:47:19.000000,2021-09-16T20:46:28.000000,126,40,23,0,17,0,14,20,2,1,0,0
maven-wagon,76,2013-02-10T14:00:40.000000,2021-02-17T12:59:18.000000,2021-07-25T13:39:37.000000,76,19,18,0,1,0,15,17,1,0,0,0
pdfbox,97,2012-10-26T13:33:27.000000,2020-12-31T09:20:33.000000,2018-10-15T15:57:44.000000,57,0,0,0,0,0,0,0,0,0,0,0
openjpa,70,2014-07-31T10:43:52.000000,2021-07-13T13:12:11.000000,2020-07-24T09:46:13.000000,60,30,13,0,17,0,10,12,1,0,0,0
maven-doxia,70,2015-02-17T09:36:40.000000,2021-09-03T12:01:27.000000,2021-09-03T12:01:26.000000,70,30,5,0,25,0,5,5,0,0,0,0
portals-pluto,26,2016-06-03T13:05:07.000000,2019-09-23T13:16:45.000000,2021-07-14T21:01:21.000000,26,16,16,0,0,0,5,9,2,4,1,0
maven-surefire,358,2011-04-10T18:34:46.000000,2021-09-19T22:58:36.000000,2021-09-15T20:56:05.000000,358,148,71,1,77,1,57,67,2,1,0,0
qpid-jms,44,2015-02-27T17:23:34.000000,2021-10-26T08:58:11.000000,2021-09-27T15:26:41.000000,43,8,8,0,0,0,8,8,0,0,0,0
oodt,119,2014-01-30T04:51:18.000000,2021-10-03T06:48:48.000000,2021-10-03T06:46:03.000000,119,68,58,0,10,0,23,41,8,5,3,1
maven,402,2013-03-05T16:51:56.000000,2021-01-06T20:41:58.000000,2020-03-30T15:34:20.000000,308,58,24,0,34,0,22,24,0,0,0,0
avro,1379,2011-06-08T15:03:33.000000,2021-10-26T06:14:52.000000,2020-03-02T08:37:37.000000,839,854,47,0,807,0,33,44,2,0,1,0
phoenix,1035,2014-07-04T10:53:05.000000,2021-01-06T08:03:33.000000,2019-04-04T20:15:38.000000,452,183,9,0,175,1,7,7,0,0,1,0
uima-ducc,6,2019-04-14T01:18:24.000000,2019-11-10T13:39:52.000000,2019-11-10T13:39:51.000000,6,0,0,0,0,0,0,0,0,0,0,0
derby,7,2016-08-23T16:03:59.000000,2020-12-24T15:48:31.000000,2018-10-18T14:27:03.000000,3,0,0,0,0,0,0,0,0,0,0,0
tapestry-5,24,2014-10-18T17:34:43.000000,2021-08-26T18:31:15.000000,2021-08-02T19:17:32.000000,23,0,0,0,0,0,0,0,0,0,0,0
airavata,267,2014-07-11T10:02:26.000000,2020-12-10T20:44:45.000000,2020-04-08T00:40:24.000000,243,160,130,0,30,0,40,87,24,12,4,3
kylin,1526,2015-01-16T07:22:48.000000,2021-01-04T07:00:40.000000,2018-07-09T08:39:27.000000,165,1131,11,0,1121,1,7,7,1,2,0,0
activemq,596,2011-03-22T10:48:38.000000,2021-01-06T10:44:50.000000,2020-03-12T20:22:07.000000,506,275,206,0,69,0,197,205,1,0,0,0
sis,23,2016-08-06T19:28:04.000000,2021-10-14T13:10:19.000000,2021-10-08T14:36:55.000000,23,10,10,0,0,0,4,8,1,0,0,1
james,282,2015-10-15T11:09:53.000000,2021-01-02T06:42:42.000000,2018-10-12T08:27:34.000000,134,23,8,0,16,1,3,7,0,0,0,0
storm,3369,2013-12-11T18:27:00.000000,2020-12-24T10:36:13.000000,2018-08-23T13:47:26.000000,2816,2563,2088,0,475,0,1461,1957,85,27,11,8
usergrid,620,2013-11-25T17:57:16.000000,2020-12-17T13:01:08.000000,2020-12-17T13:08:19.000000,620,465,451,1,13,0,155,340,55,35,12,9
jackrabbit,73,2011-08-11T15:45:46.000000,2020-07-03T19:12:57.000000,2019-10-22T11:56:43.000000,68,1,1,0,1,1,0,0,0,0,0,0
jena,894,2013-04-07T14:03:15.000000,2021-01-03T22:02:30.000000,2019-04-12T17:27:00.000000,554,734,426,0,308,0,202,367,36,16,5,2
