project,#pr,#mpr,#cmt+pr+bi,#cmt+pr+bi_szz,#cmt+pr-bi,#cmt+pr-bi_szz,#cmt-pr+bi,#cmt-pr+bi_szz,#cmt-pr-bi,#cmt-pr-bi_szz,#fa+pr+bi,#fa+pr+bi_szz,#fa+pr-bi,#fa+pr-bi_szz,#fa-pr+bi,#fa-pr+bi_szz,#fa-pr-bi,#fa-pr-bi_szz
derby,7,0,0,0,0,0,4747,4734,6226,6239,0,0,0,0,16853,35348,58829,40334
directory-kerby,100,49,1,0,43,44,257,0,1773,2030,1,0,75,76,793,0,65079,65872
xmlgraphics-batik,27,0,0,0,0,0,96,0,3664,3760,0,0,0,0,325,0,57036,57361
curator,392,241,90,0,1139,1229,108,0,1794,1902,117,0,11261,11378,182,0,33466,33648
directory-studio,13,10,12,0,40,52,392,0,5617,6009,34,0,769,803,1138,0,108121,109259
openjpa,70,30,2,0,29,31,1195,0,6044,7239,2,0,169,171,2435,0,69851,72286
freemarker,69,45,6,0,594,600,98,0,2672,2770,35,0,24402,24437,200,0,32818,33018
commons-scxml,8,4,6,6,7,7,303,273,900,930,9,14,87,82,812,1068,4772,4516
airavata,267,160,169,0,1388,1557,939,0,7017,7956,362,0,53625,53987,1609,0,148758,150367
openwebbeans,35,10,0,0,27,27,1229,0,3015,4244,0,0,226,226,3205,0,28743,31948
commons-jexl,36,17,0,0,8,8,534,527,2734,2741,0,0,110,110,1251,1759,10825,10317
jackrabbit,73,1,0,0,285,285,0,0,13147,13147,0,0,2836,2836,0,0,125357,125357
fineract,1798,1309,110,0,645,755,204,0,5154,5358,343,0,12974,13317,883,0,117318,118201
cxf-fediz,60,29,4,0,100,104,78,0,2365,2443,4,0,621,625,117,0,15741,15858
maven,402,58,0,0,216,216,0,0,12378,12378,0,0,2224,2224,0,0,57617,57617
zookeeper,1563,1,0,0,0,0,1177,1170,1775,1782,0,0,0,0,3111,7466,49123,44768
activemq,596,275,200,0,1977,2177,2196,0,8149,10345,275,0,17095,17370,4382,0,133210,137592
velocity-tools,3,2,0,0,1,1,37,0,1867,1904,0,0,1,1,39,0,9668,9707
juddi,3,3,0,0,3,3,616,0,2500,3116,0,0,64,64,2196,0,77780,79976
maven-archetype,81,33,25,0,277,302,73,0,1389,1462,25,0,1515,1540,88,0,9249,9337
karaf-cellar,81,59,1,0,66,67,441,0,2049,2490,1,0,314,315,995,0,14099,15094
maven-doxia,70,30,1,0,5,6,204,0,1757,1961,1,0,17,18,302,0,9931,10233
reef,1502,38,5,0,32,37,136,0,3779,3915,5,0,946,951,328,0,61562,61890
jena,894,734,128,0,1320,1448,570,0,19347,19917,187,0,25225,25412,1343,0,265930,267273
maven-scm,126,40,34,0,279,313,236,0,1634,1870,50,0,4497,4547,545,0,15535,16080
maven-wagon,76,19,11,0,31,42,197,0,1245,1442,11,0,124,135,265,0,7587,7852
velocity-engine,19,8,0,0,22,22,439,0,4372,4811,0,0,38,38,817,0,30802,31619
qpid-jms,44,8,0,0,8,8,572,565,1725,1732,0,0,18,18,1064,1411,7962,7615
maven-surefire,358,148,101,0,259,360,586,0,2371,2957,285,0,2640,2925,1205,0,20863,22068
tapestry-5,24,0,0,0,1,1,0,0,6310,6310,0,0,24,24,0,0,131315,131315
oodt,119,68,58,0,620,678,172,0,2033,2205,103,0,8584,8687,493,0,105243,105736
portals-pluto,26,16,39,39,83,83,514,453,2684,2745,88,99,1437,1426,1492,1698,42340,42134
avro,1379,854,309,308,391,392,944,940,1144,1148,1385,1825,7780,7340,3256,4946,22053,20363
uima-ducc,6,0,0,0,5,5,1748,1745,3265,3268,0,0,5,5,3271,5416,46049,43904
james,282,23,0,0,21,21,0,0,5743,5743,0,0,46,46,0,0,61759,61759
sis,23,10,7,7,107,107,579,472,6831,6938,12,12,1174,1174,1020,768,409059,409311
usergrid,620,465,50,34,3251,3267,142,98,7744,7788,57,39,83472,83490,217,145,268315,268387
