project_id,owner.login,name,description,url,createdAt,archivedAt,autoMergeAllowed,assignableUsers.totalCount,mirrorUrl,#cmt,#pr,#mpr
5beebd870da3ef21a62b756e,apache,commons-rdf,Apache Commons RDF,https://github.com/apache/commons-rdf,2015-03-19T07:00:05Z,"",false,27,"",1311,56,37
58c8979e0da3ef6363ccb8de,apache,ant-ivy,Mirror of Apache Ant Ivy,https://github.com/apache/ant-ivy,2014-05-28T07:00:08Z,"",false,8,"",3189,81,28
58bfd5860da3ef7cef464c78,apache,commons-math,Apache Commons Math,https://github.com/apache/commons-math,2014-10-08T07:00:06Z,"",false,32,"",7222,160,39
5b1f9fbb0da3ef49b7d0a480,apache,mahout,Mirror of Apache Mahout,https://github.com/apache/mahout,2014-05-23T07:00:07Z,"",false,14,"",4167,409,65
5b27c4cc0da3ef789daec0a1,apache,opennlp,Apache OpenNLP,https://github.com/apache/opennlp,2011-11-09T08:00:09Z,"",false,19,"",2685,389,184
5b34a9210da3ef789cc240ec,apache,calcite,Apache Calcite,https://github.com/apache/calcite,2014-06-25T07:00:07Z,"",false,59,"",2926,2310,600
5b3b2d520da3ef789ec953ea,apache,cayenne,Mirror of Apache Cayenne,https://github.com/apache/cayenne,2009-05-21T01:05:37Z,"",false,7,"",6619,441,320
5b5838020da3ef04920e02fc,apache,archiva,Apache Archiva Repository,https://github.com/apache/archiva,2014-04-10T07:00:07Z,2024-04-25T13:25:21Z,false,12,"",10261,40,29
5da724f20da3ef03c84bcf48,apache,bigtop,"Bigtop is an Apache Foundation project for Infrastructure Engineers and Data Scientists looking for comprehensive packaging, testing, and configuration of the leading open source big data components.",https://github.com/apache/bigtop,2011-08-04T16:09:56Z,"",false,22,"",3298,695,248
5c87a7300da3ef6c8a4bf6d8,apache,commons-bcel,Apache Commons BCEL,https://github.com/apache/commons-bcel,2013-07-13T07:00:12Z,"",false,30,"",1429,75,39
5bed276c0da3ef21a58b337a,apache,commons-beanutils,Apache Commons Beanutils,https://github.com/apache/commons-beanutils,2013-06-12T07:00:16Z,"",false,32,"",1341,62,23
