project,npr,fprd,lprd,nmpr,nrpr,nmpr_all,nmpr_partial,nmpr_none,nmpr_nc==0,nmpr_nc==1,nmpr_1<nc<=5,nmpr_5<nc<=10,nmpr_10<nc<=20,nmpr_20<nc<=30,nmpr_30<nc,nmbfpr,nmbfpr_a,nmbfpr_io,nmbfpr_v,nmbfpr_if,nmbipr,nmbipr_szz,nmbipr_jl+r,nmbipr_jlmiv,nmbipr_jlmiv+,nmbipr_jlmiv+av,nmbipr_jlmiv+rav,nmbipr_jlmiv+r,nmbipr_jlip+r,nmbipr_jlmivlv
streams,514,2014-04-22T17:49:34.000000,2020-11-11T20:15:41.000000,410,104,376,1,33,0,204,329,34,13,0,0,95,0,95,0,95,67,,67,,,,,,54,
samza,1446,2015-04-15T08:41:15.000000,2021-01-06T10:48:29.000000,416,991,26,0,390,0,16,24,0,0,0,2,5,0,5,0,5,1,,1,,,,,,1,
roller,67,2011-03-14T17:37:38.000000,2021-01-02T14:32:28.000000,52,13,21,0,31,0,9,17,2,1,0,1,4,0,4,0,4,0,,,,,,,,,
mina-sshd,176,2013-08-30T11:42:21.000000,2020-11-27T01:08:01.000000,29,138,4,0,25,0,1,4,0,0,0,0,3,0,3,0,3,3,,3,,,,,,3,
jackrabbit,73,2011-08-11T15:45:46.000000,2020-07-03T19:12:57.000000,1,38,1,0,1,1,0,0,0,0,0,0,0,,,,,0,,,,,,,,,
oozie,54,2012-07-17T18:42:14.000000,2020-07-14T08:16:46.000000,0,25,,,,,,,,,,,,,,,,,,,,,,,,,
activemq,596,2011-03-22T10:48:38.000000,2021-01-06T10:44:50.000000,275,273,206,0,69,0,197,205,1,0,0,0,79,0,79,0,79,14,,14,,,,,,13,
maven,402,2013-03-05T16:51:56.000000,2021-01-06T20:41:58.000000,58,294,24,0,34,0,22,24,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
airavata,267,2014-07-11T10:02:26.000000,2020-12-10T20:44:45.000000,160,64,130,0,30,0,40,87,24,12,4,3,15,0,15,0,15,38,,38,,,,,,22,
openjpa,70,2014-07-31T10:43:52.000000,2021-07-13T13:12:11.000000,30,27,13,0,17,0,10,12,1,0,0,0,3,0,3,0,3,2,,2,,,,,,2,
directory-studio,13,2013-02-13T09:13:38.000000,2021-06-17T04:02:01.000000,10,3,8,1,1,0,5,7,0,0,0,1,3,0,3,0,3,2,,2,,,,,,2,
xmlgraphics-batik,27,2013-05-09T10:32:05.000000,2021-05-24T15:21:19.000000,0,20,,,,,,,,,,,,,,,,,,,,,,,,,
curator,392,2014-03-06T01:48:58.000000,2021-07-13T06:29:14.000000,241,104,233,0,8,0,131,205,16,6,4,2,77,0,77,0,77,39,,39,,,,,,39,
directory-kerby,100,2015-11-06T21:27:35.000000,2021-05-31T09:30:36.000000,49,47,36,0,13,0,33,36,0,0,0,0,2,0,2,0,2,1,,1,,,,,,,
fineract,1798,2016-02-01T10:55:29.000000,2021-07-22T20:22:18.000000,1309,466,423,1,886,1,388,417,2,2,0,1,119,0,119,0,119,108,,108,,,,,,70,
freemarker,69,2015-10-11T02:36:50.000000,2021-04-27T18:14:01.000000,45,21,44,0,1,0,24,35,3,5,0,1,1,0,1,0,1,3,,3,,,,,,2,
openwebbeans,35,2014-06-04T10:54:06.000000,2021-07-19T07:15:47.000000,10,22,9,0,1,0,6,7,2,0,0,0,1,0,1,0,1,0,,,,,,,,,
commons-jexl,36,2014-09-09T01:27:54.000000,2021-01-01T05:11:26.000000,17,13,3,0,14,0,1,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
commons-scxml,8,2015-07-11T20:51:53.000000,2021-01-01T09:18:06.000000,4,0,4,0,0,0,0,4,0,0,0,0,4,4,2,0,2,2,2,2,1,1,1,1,1,2,1
cxf-fediz,60,2014-05-23T11:57:47.000000,2021-03-09T20:34:46.000000,29,27,17,0,12,0,11,17,0,0,0,0,4,0,4,0,4,3,,3,,,,,,3,
zookeeper,1563,2012-06-15T00:25:22.000000,2020-12-31T01:48:37.000000,1,1409,0,0,1,,,,,,,,,,,,,,,,,,,,,,
tapestry-5,24,2014-10-18T17:34:43.000000,2021-08-26T18:31:15.000000,0,3,,,,,,,,,,,,,,,,,,,,,,,,,
reef,1502,2014-10-23T16:36:08.000000,2021-05-11T05:00:31.000000,38,1458,9,0,29,0,8,9,0,0,0,0,5,0,5,0,5,0,,,,,,,,,
juddi,3,2018-07-29T22:51:55.000000,2021-06-12T02:46:15.000000,3,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
velocity-engine,19,2014-01-18T13:14:30.000000,2021-09-14T09:27:29.000000,8,6,6,0,2,0,5,5,1,0,0,0,0,0,0,0,0,0,,,,,,,,,
velocity-tools,3,2018-07-29T22:42:22.000000,2020-11-20T13:37:30.000000,2,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
